Max Frequency (Hz)	Peak Time Constant (s)
1000000	0.00010015369191309248
501187.2336272715	0.00010079093218908944
260015.9563165267	9.983719701995839e-05
139395.89993354943	0.00010089120099828371
77097.00370947085	9.995089966402931e-05
43922.35572991311	9.925861647437425e-05
25736.610132765032	9.950445086838936e-05
15489.014151618996	0.00010056773857944382
9561.424228665737	0.0001048481479146123
6046.394205168456	0.00016457622053867108
3912.2052849897455	0.0002549848351744734
2587.024571521465	0.00038628440729664436
1746.46757121706	0.0005728766925726101
1202.4097791067916	0.0008326542397035124
843.431612500624	0.0011807205440708538
602.2091930365831	0.001653679194637234
437.28040029519315	0.002276771749627359
322.6428247755711	0.003084218409591714
241.70515375749585	0.004157423245621361
183.70527000448553	0.005464365633212966
141.55184502552126	0.007084000795502866
110.50190312066357	0.009064777472661007
87.33760328201001	0.011396264672731018
69.84594640185772	0.014236576802653264
56.48513174481325	0.017588973175343883
46.167614901632554	0.021785523659966895
38.1171627783811	0.026363849228759496
31.773462060026212	0.03160618927356029
26.727682985304227	0.0375555400403429
22.678443596280488	0.044250592302479054
19.401378289614264	0.05172508348434644
16.72788193094101	0.06000727975722317
14.530110154572945	0.06911959696153244
12.710290053100247	0.07907836325088781
11.193030530085482	9.213773674309742
9.919740334368035	0.10758658150833723
8.84454078060325	0.12071349997742745
7.931247897162552	0.13471432174861753
7.151126294309313	0.1495739878454954
6.4812045120592785	0.1652724132386639
